campaign_fact_id,date,campaign_key,product_key,channel_key,region_key,spend,leads_generated,impressions
1,2022-02-16,8,4,608,403,3008.9,23,98696
2,2022-02-16,48,12,618,406,579.46,31,4582
3,2022-02-16,15,4,617,403,11308.25,39,32493
4,2022-02-16,15,58,618,404,12522.6,5,15463
5,2022-02-16,45,55,610,404,2399.32,53,23396
6,2022-02-16,6,49,603,405,8627.45,43,15695
7,2022-02-16,47,59,617,401,2932.79,68,2291
8,2022-02-16,36,38,620,409,8969.07,56,85674
9,2022-02-16,13,9,601,410,1488.8,46,10229
10,2022-02-16,55,30,603,406,10559.47,25,291277
11,2022-02-16,11,48,611,403,10712.28,9,44920
12,2022-02-16,41,22,617,411,3203.3,69,59735
13,2022-02-16,18,29,610,400,4977.62,7,25673
14,2022-02-16,26,35,602,403,9218.23,50,37869
15,2022-02-16,42,64,612,410,5129.67,43,28301
16,2022-02-17,48,34,618,406,2744.56,71,6930
17,2022-02-17,15,18,616,407,3181.82,8,12185
18,2022-02-17,10,21,613,409,1571.75,58,88104
19,2022-02-17,30,33,617,400,7122.55,24,99353
20,2022-02-17,57,35,620,405,2003.97,65,30730
21,2022-02-17,30,1,608,408,7857.66,74,23947
22,2022-02-17,56,39,620,408,17179.4,9,296038
23,2022-02-17,49,21,617,408,2796.23,96,6310
24,2022-02-18,2,15,611,404,3155.07,40,84364
25,2022-02-18,6,11,615,401,9801.86,78,26483
26,2022-02-18,9,61,617,402,3385.51,64,37760
27,2022-02-18,60,26,609,406,24902.99,25,295779
28,2022-02-18,29,58,603,403,3022.28,53,12757
29,2022-02-18,38,30,618,403,1064.72,17,40007
30,2022-02-18,5,5,610,401,5627.41,45,97684
31,2022-02-18,32,28,617,402,19467.05,23,402100
32,2022-02-18,31,32,615,406,8808.2,8,445496
33,2022-02-18,28,46,613,406,5203.22,16,98259
34,2022-02-18,42,13,601,406,2266.18,46,42591
35,2022-02-18,13,25,617,407,3822.37,16,23254
36,2022-02-19,16,10,614,408,3272.81,39,5967
37,2022-02-19,6,31,605,406,5370.77,37,62565
38,2022-02-19,58,8,605,406,1019.4,59,44760
39,2022-02-19,60,59,609,406,18931.83,28,391382
40,2022-02-19,43,63,604,403,3670.37,25,25774
41,2022-02-19,48,8,610,400,625.36,81,9238
42,2022-02-19,59,21,601,408,516.3,66,18981
43,2022-02-19,39,9,607,406,4157.96,61,85880
44,2022-02-19,39,6,619,401,4773.02,76,51467
45,2022-02-19,60,34,606,410,19323.84,24,23925
46,2022-02-19,26,17,620,404,5115.02,19,11220
47,2022-02-19,30,13,602,408,2918.39,43,27361
48,2022-02-20,57,9,607,405,7129.77,99,81200
49,2022-02-20,46,39,619,410,5760.47,80,49240
50,2022-02-20,60,14,604,404,7308.57,12,146772
51,2022-02-20,36,20,608,404,6443.47,53,36685
52,2022-02-20,44,34,616,407,3260.09,16,22097
53,2022-02-20,41,55,608,400,1031.91,26,93507
54,2022-02-20,17,21,614,408,11173.68,40,5633
55,2022-02-20,8,10,604,408,1324.25,85,25905
56,2022-02-20,36,19,613,402,1376.46,56,15229
57,2022-02-20,58,46,606,410,3245.77,46,5635
58,2022-02-21,57,53,619,411,2390.98,40,31299
59,2022-02-21,52,23,613,400,8587.21,15,315856
60,2022-02-21,52,32,608,402,20747.49,8,300562
61,2022-02-21,56,5,615,403,8991.46,19,283321
62,2022-02-21,20,30,607,400,21160.86,45,26512
63,2022-02-21,18,9,608,405,10339.26,30,49532
64,2022-02-21,54,43,600,401,22540.77,13,193620
65,2022-02-21,38,34,601,401,1910.74,108,51114
66,2022-02-21,28,15,612,409,2710.71,15,67154
67,2022-02-21,1,26,611,406,1629.76,52,91678
68,2022-02-21,21,16,609,408,3783.56,62,52753
69,2022-02-21,26,38,617,402,2726.56,58,98777
70,2022-02-21,48,23,619,409,1252.37,90,1006
71,2022-02-22,19,27,613,409,9886.6,25,35473
72,2022-02-22,29,57,606,408,5258.68,62,9635
73,2022-02-22,6,37,616,410,6696.47,52,22240
74,2022-02-22,53,31,609,403,21131.26,9,112805
75,2022-02-22,3,32,615,409,8647.64,19,69692
76,2022-02-22,27,25,612,407,4596.88,28,95990
77,2022-02-22,45,1,603,406,2969.57,76,70889
78,2022-02-22,4,32,603,407,2200.05,69,97500
79,2022-02-22,34,41,614,409,8335.06,74,65933
80,2022-02-23,29,21,615,407,3332.72,41,93579
81,2022-02-23,18,63,620,403,5569.77,9,23725
82,2022-02-23,16,35,610,405,13609.35,10,14068
83,2022-02-23,10,30,612,411,2375.25,37,18418
84,2022-02-23,27,53,610,408,5193.32,17,37110
85,2022-02-23,54,54,612,409,23921.24,5,401827
86,2022-02-23,25,62,600,405,3687.51,59,64921
87,2022-02-23,35,29,615,403,3456.42,72,13804
88,2022-02-23,25,44,612,411,2485.4,69,26728
89,2022-02-23,40,4,612,409,6079.53,13,21003
90,2022-02-23,42,55,604,407,2635.56,64,17906
91,2022-02-23,21,28,614,405,4037.5,58,46471
92,2022-02-23,49,54,608,401,1675.77,89,1853
93,2022-02-24,15,9,620,400,11805.03,20,18065
94,2022-02-24,54,3,619,402,9770.9,20,450989
95,2022-02-24,8,28,614,411,3306.19,57,31992
96,2022-02-24,39,15,605,404,1972.89,13,50888
97,2022-02-24,37,49,612,411,2784.97,41,23356
98,2022-02-24,45,39,619,401,8166.04,15,55508
99,2022-02-24,35,55,611,401,5553.65,53,11658
100,2022-02-24,55,54,615,401,13670.47,16,433229
101,2022-02-24,58,59,604,406,2585.23,114,28576
102,2022-02-24,18,62,614,406,12734.55,22,26122
103,2022-02-25,54,12,608,407,9877.27,19,398765
104,2022-02-25,40,49,610,400,5448.76,51,33834
105,2022-02-25,32,28,611,404,11806.78,24,467622
106,2022-02-25,57,36,617,400,5649.65,34,21221
107,2022-02-25,16,53,615,408,11856.14,35,47329
108,2022-02-25,46,63,614,400,1837.48,38,63005
109,2022-02-25,45,32,609,410,6234.0,70,82544
110,2022-02-25,34,45,613,411,5953.5,55,69473
111,2022-02-26,20,33,607,401,22753.39,37,12835
112,2022-02-26,48,24,606,403,2346.51,110,959
113,2022-02-26,39,37,603,403,3666.22,56,33519
114,2022-02-26,20,2,617,402,5566.05,8,41264
115,2022-02-26,19,17,620,407,3333.64,5,42621
116,2022-02-26,19,61,615,407,6429.18,8,21546
117,2022-02-26,56,62,603,401,13014.15,7,402525
118,2022-02-26,41,7,604,402,8300.28,72,6349
119,2022-02-26,16,16,617,406,9882.13,19,39247
120,2022-02-27,29,57,609,409,9910.28,49,84531
121,2022-02-27,40,8,619,411,1893.1,36,91987
122,2022-02-27,14,34,602,402,5118.25,40,9919
123,2022-02-27,11,1,613,407,10961.82,35,24087
124,2022-02-27,3,30,609,411,3544.47,68,19329
125,2022-02-27,44,30,608,410,6308.11,35,65723
126,2022-02-27,8,29,620,402,9175.7,28,19359
127,2022-02-27,4,22,609,409,7740.62,46,67560
128,2022-02-27,8,60,609,411,4622.58,44,75597
129,2022-02-27,35,64,614,401,6382.33,65,52247
130,2022-02-27,39,33,600,401,3060.32,12,98117
131,2022-02-28,37,6,605,407,5670.67,66,46458
132,2022-02-28,12,56,620,407,14597.72,35,27803
133,2022-02-28,27,43,610,410,1941.4,30,53228
134,2022-02-28,27,64,609,410,9506.74,80,14809
135,2022-02-28,30,12,610,404,3909.46,61,77449
136,2022-02-28,53,1,617,407,13264.95,11,371811
137,2022-02-28,24,64,620,407,7839.91,36,45003
138,2022-02-28,36,17,609,407,8927.62,72,25915
139,2022-02-28,2,31,605,404,5957.55,80,63476
140,2022-03-01,15,15,614,401,10420.23,14,37661
141,2022-03-01,60,38,616,411,10468.5,20,347579
142,2022-03-01,16,59,617,402,6986.62,37,13946
143,2022-03-01,56,9,608,406,11797.5,30,366200
144,2022-03-01,18,1,609,411,5881.23,36,14738
145,2022-03-01,29,62,611,405,5967.26,79,59441
146,2022-03-02,60,42,606,411,9776.11,34,22245
147,2022-03-02,55,53,601,405,5968.23,54,299874
148,2022-03-02,25,20,615,400,2136.22,52,23154
149,2022-03-02,56,57,603,408,23208.83,5,478768
150,2022-03-02,10,53,620,402,1673.45,43,54375
151,2022-03-02,40,51,620,401,8665.89,78,59808
152,2022-03-02,21,63,617,400,6557.14,40,92727
153,2022-03-02,44,37,607,411,3626.83,33,93066
154,2022-03-02,46,13,614,402,7246.01,13,16028
155,2022-03-02,21,8,609,405,4373.57,28,42007
156,2022-03-02,34,53,618,410,8132.68,31,32946
157,2022-03-02,6,49,619,410,3167.47,28,40433
158,2022-03-03,41,33,614,404,7001.57,69,47700
159,2022-03-03,44,21,602,407,9507.12,48,93746
160,2022-03-03,28,33,614,404,2792.95,59,73335
161,2022-03-03,7,31,612,409,4230.63,47,48696
162,2022-03-03,2,51,608,400,6093.36,16,89482
163,2022-03-03,48,64,609,403,2017.66,65,4588
164,2022-03-03,41,25,619,404,7099.88,27,92345
165,2022-03-03,7,6,609,407,1300.28,56,27224
166,2022-03-03,6,38,610,411,4739.53,35,27322
167,2022-03-03,51,47,616,408,23269.74,10,234726
168,2022-03-03,59,62,609,411,8833.57,24,71385
169,2022-03-03,5,19,607,410,15035.9,90,83048
170,2022-03-04,6,51,600,404,5829.15,68,58311
171,2022-03-04,44,34,618,406,8401.76,57,24201
172,2022-03-04,44,30,615,400,6575.92,51,89964
173,2022-03-04,15,9,620,407,13822.04,24,47548
174,2022-03-04,27,15,604,400,9516.35,72,22370
175,2022-03-04,8,13,607,408,4441.95,102,58629
176,2022-03-04,43,54,618,411,7539.39,63,95841
177,2022-03-04,7,63,619,406,9451.48,45,14288
178,2022-03-04,45,48,606,407,5002.26,80,5753
179,2022-03-04,7,48,617,410,4228.06,60,46160
180,2022-03-05,8,59,602,410,2908.95,12,16629
181,2022-03-05,51,43,607,402,41479.12,16,135971
182,2022-03-05,54,27,618,403,21261.06,12,272259
183,2022-03-05,50,19,619,400,1193.19,38,3129
184,2022-03-05,35,33,605,401,6949.52,13,27275
185,2022-03-05,1,46,607,409,7827.89,48,44782
186,2022-03-05,4,17,613,408,2022.84,18,72422
187,2022-03-05,29,47,616,409,1981.49,74,39038
188,2022-03-06,3,39,614,410,9676.24,17,72781
189,2022-03-06,55,52,613,410,7159.24,27,332554
190,2022-03-06,5,11,610,409,2335.0,26,46046
191,2022-03-06,40,42,612,409,5775.01,68,76263
192,2022-03-06,39,56,603,411,2029.73,80,38183
193,2022-03-06,28,58,607,406,8100.77,102,62262
194,2022-03-06,27,13,610,406,3812.71,42,59060
195,2022-03-06,10,61,602,401,8485.95,21,66606
196,2022-03-06,7,48,604,408,1539.83,78,29345
197,2022-03-06,8,53,611,410,9470.17,64,16743
198,2022-03-06,19,40,611,401,9512.94,18,15140
199,2022-03-06,43,62,607,401,8302.05,85,25058
200,2022-03-06,49,36,618,403,2518.05,91,1430
201,2022-03-06,39,35,600,402,3459.43,49,54541
202,2022-03-07,1,24,604,409,6916.1,27,8578
203,2022-03-07,48,4,602,411,1826.21,68,7878
204,2022-03-07,30,44,605,405,3804.74,51,84395
205,2022-03-07,39,11,601,402,725.01,32,98338
206,2022-03-07,6,35,614,410,4816.13,66,64287
207,2022-03-07,18,28,616,401,6487.25,12,23562
208,2022-03-07,44,63,616,410,3775.77,38,61807
209,2022-03-07,39,8,600,403,3712.77,37,27987
210,2022-03-07,49,33,609,405,799.96,83,8055
211,2022-03-07,12,17,612,408,11147.73,37,41616
212,2022-03-08,52,46,602,406,22235.29,6,328704
213,2022-03-08,2,59,602,405,6181.83,61,93904
214,2022-03-08,27,38,603,406,1187.71,51,32527
215,2022-03-08,52,59,611,401,13734.24,8,227567
216,2022-03-08,28,52,616,401,4561.9,49,54500
217,2022-03-08,15,43,605,401,8636.28,12,39773
218,2022-03-08,33,25,611,405,19547.58,25,177432
219,2022-03-08,16,14,604,404,4564.53,21,14387
220,2022-03-08,5,23,620,407,5175.58,67,99277
221,2022-03-08,60,42,620,405,8019.15,7,345849
222,2022-03-08,29,39,608,409,1505.55,74,19724
223,2022-03-08,20,60,614,400,2739.57,23,10028
224,2022-03-08,42,12,619,409,5563.61,69,86064
225,2022-03-08,36,6,614,409,6866.54,51,89299
226,2022-03-08,31,20,601,407,2121.01,30,474507
227,2022-03-09,33,23,601,403,5745.73,38,374762
228,2022-03-09,34,21,611,405,9261.43,59,63578
229,2022-03-09,50,44,619,400,2473.07,62,2079
230,2022-03-09,22,13,617,410,4479.08,42,96057
231,2022-03-09,59,20,610,401,6244.66,28,55851
232,2022-03-09,20,51,604,409,11214.84,15,7586
233,2022-03-10,25,43,604,410,7325.48,115,6674
234,2022-03-10,42,55,616,405,1164.07,49,33627
235,2022-03-10,14,44,615,403,4945.06,13,15154
236,2022-03-10,5,38,603,408,7937.87,77,14947
237,2022-03-10,43,44,619,402,6375.22,29,31266
238,2022-03-10,12,22,614,400,7341.16,20,34111
239,2022-03-10,40,37,614,403,5806.1,49,71474
240,2022-03-10,58,25,611,410,9524.17,66,70513
241,2022-03-10,50,37,612,408,1818.65,40,4271
242,2022-03-10,52,18,608,400,17823.58,16,390739
243,2022-03-10,60,14,616,401,10701.26,29,184049
244,2022-03-10,18,58,616,402,12803.61,10,19551
245,2022-03-10,53,58,611,400,13297.94,17,363196
246,2022-03-11,16,50,602,405,4919.0,25,11493
247,2022-03-11,54,43,604,402,5766.06,30,139482
248,2022-03-11,54,18,615,407,17306.97,7,109963
249,2022-03-11,17,28,604,408,14222.94,57,9821
250,2022-03-11,8,37,607,404,4193.27,60,65027
251,2022-03-11,41,59,602,401,8530.19,73,88215
252,2022-03-11,35,3,620,408,6175.43,28,48177
253,2022-03-11,28,1,619,405,3165.08,63,34551
254,2022-03-11,43,11,616,405,1609.11,77,81313
255,2022-03-11,33,3,612,407,5870.69,17,295717
256,2022-03-12,48,3,611,401,1362.01,100,2698
257,2022-03-12,50,43,604,400,1380.75,94,1160
258,2022-03-12,54,60,615,410,8645.56,9,133082
259,2022-03-12,46,59,601,404,844.3,70,15492
260,2022-03-12,21,40,616,406,9902.1,79,72049
261,2022-03-12,17,5,620,403,5719.44,8,47974
262,2022-03-12,22,35,603,405,4932.56,61,67637
263,2022-03-12,58,50,610,402,5465.83,73,58148
264,2022-03-12,60,35,602,411,13489.99,18,415859
265,2022-03-13,35,38,610,401,1720.62,47,50173
266,2022-03-13,29,55,605,411,4995.18,67,15551
267,2022-03-13,47,46,619,406,1186.39,27,2229
268,2022-03-13,43,52,611,408,8209.86,30,14081
269,2022-03-13,10,57,601,402,481.53,112,57467
270,2022-03-13,25,5,619,402,7111.56,57,58760
271,2022-03-13,29,10,618,402,5765.14,60,51207
272,2022-03-14,18,32,603,400,11563.77,36,38930
273,2022-03-14,25,16,608,404,7336.34,37,90199
274,2022-03-14,19,63,606,401,3764.47,18,3462
275,2022-03-14,12,57,602,410,14578.3,25,48767
276,2022-03-14,23,9,617,408,3613.26,48,30644
277,2022-03-14,46,23,611,408,3018.17,35,28202
278,2022-03-14,16,64,600,405,9202.28,28,35631
279,2022-03-14,52,17,619,401,6314.96,17,475879
280,2022-03-14,47,62,616,406,2422.91,93,2208
281,2022-03-14,9,41,620,401,5049.77,76,55156
282,2022-03-14,9,24,604,406,5525.77,25,7882
283,2022-03-14,34,20,609,402,2457.7,38,55353
284,2022-03-14,34,37,602,404,2766.72,80,45972
285,2022-03-14,9,39,619,408,1840.86,31,87569
286,2022-03-14,38,20,605,410,6620.31,53,83874
287,2022-03-15,53,4,602,400,23970.94,29,402394
288,2022-03-15,17,27,618,406,10035.41,6,37639
289,2022-03-15,57,38,620,404,5346.5,61,48985
