account_id,account_name,customer_key,industry,vertical,billing_street,billing_city,billing_state,billing_postal_code,account_type,annual_revenue,employees,created_date
ACC000001,Servicios Torres Sur Holdings,1,Education,Public Sector,Av. La Marina 1371,Tacna,Tacna,23001,Customer,7178673,5,2020-03-02
ACC000002,Comercial Fernandez Andina S.A.,2,Financial Services,SMB,Av. El Sol 520,Surco,Santiago,15038,Prospect,9986237,25,2024-07-15
ACC000003,Empresa Lopez Regional S.A.,3,Hospitality,Enterprise,Calle Las Begonias 872,Surco,Santiago,15038,Prospect,1722631,25,2024-10-01
ACC000004,Inversiones Lopez Regional S.R.L.,4,Transport & Logistics,SMB,Jr. Concepcion 756,Miraflores,Santiago,15074,Partner,480373285,1000,2023-03-28
ACC000005,Empresa Oriente Continental Holdings,5,Manufacturing,Enterprise,Av. La Marina 1859,Cayma,Valparaiso,04006,Prospect,346280485,1000,2020-11-29
ACC000006,Corporacion Chile Rodriguez Chile,6,Hospitality,Enterprise,Jr. Puno 944,Temuco,Temuco,20001,Customer,253174062,2500,2021-07-06
ACC000007,Inversiones Fernandez Costa S.A.,7,Professional Services,SMB,Av. El Sol 569,Antofagasta,Antofagasta,14001,Customer,1210460,10,2023-03-07
ACC000008,Empresa Gonzalez Andina Group,8,Retail,Enterprise,Av. Angamos 1006,Temuco,Temuco,20001,Partner,154680614,2500,2024-03-09
ACC000009,Servicios Regional Garcia Chile,9,Construction,Enterprise,Paseo de la Republica 1025,San Borja,Santiago,15037,Customer,2664251,10,2024-06-10
ACC000010,Empresa Chile Sol S.A.,10,Technology,SMB,Calle Las Begonias 536,Surco,Santiago,15038,Customer,370990466,5000,2024-03-17
ACC000011,Grupo Regional Lopez S.A.C.,11,Manufacturing,Enterprise,Av. Benavides 890,San Borja,Santiago,15037,Customer,8617485,5,2024-11-17
ACC000012,Comercial Chile Lopez del Chile,12,Healthcare,Enterprise,Av. Javier Prado 1776,Miraflores,Santiago,15074,Customer,5538436,50,2020-02-09
ACC000013,Comercial Inca Norte S.R.L.,13,Charity,SMB,Av. La Marina 1015,Temuco,Temuco,20001,Customer,73929643,10000,2022-08-31
ACC000014,Inversiones Andina Andina Group,14,Transport & Logistics,SMB,Av. El Sol 220,Concepcion,Concepcion,08001,Customer,240203188,5000,2022-07-13
ACC000015,Grupo Selva Chile Chile,15,Insurance,Enterprise,Av. La Marina 901,Vina del Mar,Vina del Mar,07001,Customer,127912186,250,2020-03-05
ACC000016,Grupo Sanchez Oriente Chile,16,Recruitment,SMB,Calle Las Begonias 1266,Temuco,Temuco,20001,Prospect,4176817,50,2024-07-11
