opportunity_id,sale_id,account_id,opportunity_name,stage_name,amount,probability,close_date,created_date,lead_source,type,campaign_id
OPP00000001,1.0,ACC000030,Scotiabank Chile Fibra Optica Migracion de Red,Closed Won,465737.07,100.0,2023-02-20,2022-10-10,Llamada Directa,Expansion,15862.0
OPP00000002,2.0,ACC000994,Clinica Ricardo Palma Expansion Fibra,Closed Won,37384.3,100.0,2023-04-11,2022-02-15,Evento,Expansion,
OPP00000003,3.0,ACC000586,Municipalidad de Santiago Fibra Optica Migracion de Red,Closed Lost,83800.53,0.0,2024-11-19,2022-03-15,Web,Nuevo Cliente,
OPP00000004,4.0,ACC000353,Hilton Santiago - WOM TvGo + L1MAX Migracion de Red,Discovery,171164.94,24.3,2022-08-08,2022-07-22,Llamada Directa,Expansion,24505.0
OPP00000005,5.0,ACC000796,Plaza Vea Instalacion Fibra,Closed Lost,117779.2,0.0,2024-02-13,2022-02-08,WhatsApp,Expansion,
OPP00000006,6.0,ACC000335,Duo 5000 Mbps + WOM TvGo + L1MAX - Casa Andina,Closed Lost,211428.48,0.0,2024-03-30,2021-12-08,Evento,Upgrade,
OPP00000007,7.0,ACC000928,SIS Fibra Optica Expansion Fibra,Prospecting,96509.9,6.5,2024-05-29,2022-02-11,Telemarketing,Upgrade,
OPP00000008,8.0,ACC000455,Entel Chile Transformacion Digital,Qualification,462199.87,27.9,2023-04-28,2021-12-25,Referencia Cliente,Cross-Sell,
OPP00000009,9.0,ACC000978,Enlace Dedicado 1 Gbps Corporativo - Antamina,Closed Won,239138.18,100.0,2024-10-18,2024-07-28,Evento,Expansion,22295.0
OPP00000010,10.0,ACC000214,PUCP Fibra Optica Seguridad de Red,Closed Won,490372.35,100.0,2022-12-01,2021-12-25,Web,Nuevo Cliente,
OPP00000011,11.0,ACC000398,Antamina Despliegue,Prospecting,372930.53,18.5,2022-10-01,2022-03-06,Web,Upgrade,
OPP00000012,12.0,ACC000551,Duo 2500 Mbps + WOM TvGo + L1MAX - Alicorp,Proposal,180211.55,57.2,2022-05-10,2021-12-28,Evento,Expansion,
OPP00000013,13.0,ACC000976,Proyecto TV Digital Internet Hogar 2500 Mbps - Tottus,Qualification,383690.41,45.2,2025-07-23,2025-07-24,Redes Sociales,Nuevo Cliente,28589.0
OPP00000014,14.0,ACC000203,Empresas Enterprise Plus Simetrico Corporativo - Auna,Closed Lost,342982.58,0.0,2025-08-04,2022-01-17,Web,Upgrade,
